JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
ANC|A nouveaux pour cloture|      11986|20240101|10121000|CS appelé, non versé - Assoc. coop.|||71691|20240101|Libelle ecriture 71691 / 11986|            0,00|        11268,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|10131000|Capital non amorti|||71692|20240101|Libelle ecriture 71692 / 11986|            0,00|       129304,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|10610000|Réserve légale|||71693|20240101|Libelle ecriture 71693 / 11986|            0,00|        51291,48|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|10621000|Subv. d'investissement|||71694|20240101|Libelle ecriture 71694 / 11986|            0,00|        60859,75|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|10623000|Dévolution|||71695|20240101|Libelle ecriture 71695 / 11986|            0,00|        22991,67|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|10680000|Autres réserves|||71696|20240101|Libelle ecriture 71696 / 11986|            0,00|       347273,91|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|11900000|Report à nouveau - solde débiteur|||71697|20240101|Libelle ecriture 71697 / 11986|        13611,30|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|12000000|Résultat de l'exercice - bénéfice|||71698|20240101|Libelle ecriture 71698 / 11986|            0,00|        91865,65|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|16411000|Emprunts crca ct|||71699|20240101|Libelle ecriture 71699 / 11986|            0,00|        53880,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|16413000|Emprunts crca mt+lt|||71700|20240101|Libelle ecriture 71700 / 11986|            0,00|      1240869,84|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|16884000|Sur emprunts auprès étab. crédit|||71701|20240101|Libelle ecriture 71701 / 11986|            0,00|         9260,54|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|21110000|Terrains nus|||71702|20240101|Libelle ecriture 71702 / 11986|         5180,00|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|21450000|Agenc amenag/cons|||71703|20240101|Libelle ecriture 71703 / 11986|        41759,49|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|21541000|Materiels agri.|||71704|20240101|Libelle ecriture 71704 / 11986|      2323576,09|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|21542000|Accessoir. materiel|||71705|20240101|Libelle ecriture 71705 / 11986|        35000,00|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|26211000|Part soc autr cuma|||71706|20240101|Libelle ecriture 71706 / 11986|          882,68|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|26212000|Part soc autres coop|||71707|20240101|Libelle ecriture 71707 / 11986|           15,24|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|27151000|Parts soc Banque CRCA|||71708|20240101|Libelle ecriture 71708 / 11986|         2114,46|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|28145000|Amo. d'agenc amenag/cons sol autrui|||71709|20240101|Libelle ecriture 71709 / 11986|            0,00|        33784,59|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|28154100|Amo. materiels agri.|||71710|20240101|Libelle ecriture 71710 / 11986|            0,00|       740254,75|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|28154200|Amo. d'accessoir. materiel|||71711|20240101|Libelle ecriture 71711 / 11986|            0,00|        17801,60|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|32120000|Stocks Carburants|||71712|20240101|Libelle ecriture 71712 / 11986|         1082,50|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|32133000|St.matières consom .inco/serv. récolte|||71713|20240101|Libelle ecriture 71713 / 11986|         4099,90|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|43100000|Sécurité sociale|||71714|20240101|Libelle ecriture 71714 / 11986|            0,00|         2735,47|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|43730000|Autres organismes sociaux - Ret. & Prév.|||71715|20240101|Libelle ecriture 71715 / 11986|            0,00|           68,76|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|43820000|Charges sociales sur congés à payer|||71716|20240101|Libelle ecriture 71716 / 11986|            0,00|          215,62|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|44210000|Prélèvements à la source (Impôt sur le r|||71717|20240101|Libelle ecriture 71717 / 11986|            0,00|            6,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|44566020|TVA s/autres biens, serv. TRed Enc.|||71718|20240101|Libelle ecriture 71718 / 11986|            0,00|           44,40|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|44566040|TVA s/autres biens, serv. TPlein Enc|||71719|20240101|Libelle ecriture 71719 / 11986|           94,42|            0,00|||20240925||
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71720|20240101|Libelle ecriture 71720 / 11986|           24,33|            0,00|AB|20240109|20240925|           24,33|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71721|20240101|Libelle ecriture 71721 / 11986|            1,49|            0,00|AB|20240109|20240925|            1,49|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71722|20240101|Libelle ecriture 71722 / 11986|          267,93|            0,00|AB|20240109|20240925|          267,93|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71723|20240101|Libelle ecriture 71723 / 11986|            0,00|         9974,18|AB|20240109|20240925|         9974,18|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71724|20240101|Libelle ecriture 71724 / 11986|          384,15|            0,00|AB|20240109|20240925|          384,15|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71725|20240101|Libelle ecriture 71725 / 11986|            0,00|        16933,61|AB|20240109|20240925|        16933,61|
ANC|A nouveaux pour cloture|      11986|20240101|44566100|TVA BIEN/SERVIC.HT|||71726|20240101|Libelle ecriture 71726 / 11986|            3,92|            0,00|AB|20240109|20240925|            3,92|
