JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
ANC|A nouveaux pour cloture|      10957|20230101|10121000|CS appelé, non versé - Assoc. coop.|||62618|20230101|Libellé N-1 62618 10957|            0,00|         1648,00|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|10131000|Capital non amorti|||62619|20230101|Libellé N-1 62619 10957|            0,00|       133724,00|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|10610000|Réserve légale|||62620|20230101|Libellé N-1 62620 10957|            0,00|        51291,48|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|10621000|Subv. d'investissement|||62621|20230101|Libellé N-1 62621 10957|            0,00|        60859,75|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|10623000|Dévolution|||62622|20230101|Libellé N-1 62622 10957|            0,00|        22991,67|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|10680000|Autres réserves|||62623|20230101|Libellé N-1 62623 10957|            0,00|       347273,91|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|11900000|Report à nouveau - solde débiteur|||62624|20230101|Libellé N-1 62624 10957|          456,71|            0,00|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|12900000|Résultat de l'exercice - perte|||62625|20230101|Libellé N-1 62625 10957|        13154,59|            0,00|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|16411000|Emprunts crca ct|||62626|20230101|Libellé N-1 62626 10957|            0,00|        36105,00|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|16413000|Emprunts crca mt+lt|||62627|20230101|Libellé N-1 62627 10957|            0,00|       766971,51|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|16810000|Autres emprunts|||62628|20230101|Libellé N-1 62628 10957|            0,00|       114423,22|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|16884000|Sur emprunts auprès étab. crédit|||62629|20230101|Libellé N-1 62629 10957|            0,00|         4888,15|||20230918||
ANC|A nouveaux pour cloture|      10957|20230101|21110000|Terrains nus|||62630|20230101|Libellé N-1 62630 10957|         5180,00|            0,00|||20230918||
